date,competition,phase,round,opponent,home_away,score,stadium,referee,attendance_paid,attendance_total,revenue,goals_csa,lineup,coach
2014-01-19,Copa do Nordeste,1ª Fase,1,Bahia,C,4x1,Estádio Rei Pelé - Maceió-AL,Claudio Francisco Lima e Silva-SE,7653,10083,,"Jeferson Maranhense; Mineiro; Daniel Costa; Josimar","Pantera;Pedro Silva;Breno;Roberto Dias;Mineiro;Charles Vagner;Lucas (Robson);Daniel Costa (Santos);Jeferson Maranhense (Alisson);Uéderson;Josimar",Oliveira Canindé
2014-01-22,Copa do Nordeste,1ª Fase,2,Vitória da Conquista-BA,V,2x2,Estádio Lomanto Júnior - Vitória da Conquista-BA,José Cleuton Souza Lima-CE,,,,"Josimar; Breno","Pantera;Pedro Silva;Breno;Roberto Dias;Mineiro;Charles Vagner;Lucas;Daniel Costa;Diego Clementino (Alisson);Jeferson Maranhense (Santos);Josimar",Oliveira Canindé
2014-01-25,Copa do Nordeste,1ª Fase,3,Santa Cruz-PE,V,1x0,Estádio Luiz Lacerda - Caruaru-PE,Caio Max Augusto Vieira-RN,,,,"Josimar","Pantera;Pedro Silva;Breno;Roberto Dias;Mineiro;Charles Vagner;Lucas (Robson);Daniel Costa;Uéderson (Diego Clementino);Jeferson Maranhense (Santos);Josimar",Oliveira Canindé
2014-01-30,Copa do Nordeste,1ª Fase,4,Santa Cruz-PE,C,1x1,Estádio Rei Pelé - Maceió-AL,Avelar Rodrigo da Silva-CE,9072,12006,,"Josimar","Pantera;Pedro Silva;Breno;Roberto Dias;Mineiro;Charles Vagner;Lucas (Wanderson Cafu);Daniel Costa;Uéderson (Diego Clementino);Jeferson Maranhense (Santos);Josimar",Oliveira Canindé
2014-02-02,Copa do Nordeste,1ª Fase,5,Vitória da Conquista-BA,C,2x1,Estádio Rei Pelé - Maceió-AL,Clizaldo Luiz Maroja-PB,8011,10257,,"Daniel Costa; Diego Clementino","Pantera;Pedro Silva;Breno;Roberto Dias;Mineiro (Jerson);Charles Vagner;Lucas (Santos);Daniel Costa;Uéderson (Diego Clementino);Jeferson Maranhense;Josimar",Oliveira Canindé
2014-02-05,Copa do Nordeste,1ª Fase,6,Bahia,V,0x1,Estádio Fonte Nova - Salvador-BA,Ítalo Medeiros de Azevedo-RN,,,,"","Pantera (Eduardo Castro);Alves;Breno;Tiago Garça;Santos;Robson (Acácio);Lucas;Daniel Costa;Alisson (Diego Clementino);Jeferson Maranhense;Josimar",Oliveira Canindé
2014-02-16,Copa do Nordeste,Quartas de Final - Ida,,Sport,V,0x2,Estádio Ilha do Retiro - Recife-PE,Claudio Francisco Lima e Silva-SE,,,,"","Pantera;Pedro Silva;Breno;Roberto Dias;Mineiro (Uéderson);Charles Vagner;Lucas;Daniel Costa;Jerson (Diego Clementino);Jeferson Maranhense (Santos);Josimar",Oliveira Canindé
2014-02-25,Copa do Nordeste,Quartas de Final - Volta,,Sport,C,1x0,Estádio Rei Pelé - Maceió-AL,Jailson Macedo Freitas-BA,6736,9021,,"Daniel Costa","Eduardo Castro;Pedro Silva;Tiago Garça;Roberto Dias;Mineiro;Charles Vagner;Lucas (Claudio Allax);Daniel Costa;Jeferson Maranhense (Santos);Diego Clementino (Uéderson);Josimar",Oliveira Canindé
2014-03-12,Copa do Brasil,1ª Fase - Ida,,São Paulo,C,0x1,Estádio Rei Pelé - Maceió-AL,Renan Roberto de Souza-PB,15000,17006,,"","Pantera;Pedro Silva;Tiago Garça;Roberto Dias;Mineiro;Charles Vagner;Lucas;Santos (Williams Vassoura);Daniel Costa;Uéderson (Thiago Furtuoso);Jeferson Maranhense",Oliveira Canindé
2014-04-09,Copa do Brasil,1ª Fase - Volta,,São Paulo,V,0x3,Estádio do Morumbi - São Paulo-SP,Diego Almeida Real-RS,,,,"","Pantera;Pedro Silva;Léo Bahia;Roberto Dias;Mineiro;Charles Vagner;Lucas (Jerson);Daniel Costa;Jean Carioca (Santos);Diego Clementino (Dinei);Jeferson Maranhense",Marlon Araújo
2014-02-19,Campeonato Alagoano,2º Turno,1,CRB,C,1x1,Estádio Rei Pelé - Maceió-AL,Francisco Carlos Nascimento-AL,10247,13169,,"Diego Clementino","Eduardo Castro;Pedro Silva;Tiago Garça;Roberto Dias;Mineiro (Jeferson Maranhense);Charles Vagner;Lucas;Santos (Anderson Ataíde);Daniel Costa;Diego Clementino (Uéderson);Josimar",Oliveira Canindé
2014-02-22,Campeonato Alagoano,2º Turno,2,ASA,V,2x3,Estádio Coaracy da Mata Fonseca - Arapiraca-AL,José Reinaldo Figueiredo-AL,,,,"Diego Clementino; Jeferson Maranhense","Eduardo Castro;Alves (Anderson Ataíde);Tiago Garça;Roberto Dias;Santos;Charles Vagner;Lucas;Daniel Costa;Diego Clementino (Uéderson);Jeferson Maranhense;Josimar",Oliveira Canindé
2014-03-08,Campeonato Alagoano,2º Turno,3,CSE,C,7x1,Estádio Rei Pelé - Maceió-AL,Charles Hebert Cavalcante Ferreira-AL,3107,5754,,"Roberto Dias; Diego Clementino; Pedro Silva; Josimar (2); Silvio (contra-CSE); Santiago (contra-CSE)","Eduardo Castro;Pedro Silva;Tiago Garça;Roberto Dias;Mineiro;Charles Vagner;Lucas (Léo Maceió);Daniel Costa (Jerson);Jeferson Maranhense;Diego Clementino (Thiago Furtuoso);Josimar",Oliveira Canindé
2014-03-15,Campeonato Alagoano,2º Turno,4,Comercial,V,2x0,Estádio Olival Elias de Morais - Boca da Mata-AL,José Reinaldo Figueiredo-AL,,,,"Daniel Costa (2)","Pantera;Pedro Silva;Tiago Garça;Roberto Dias;Mineiro;Léo Maceió (Claudio Allax);Lucas;Daniel Costa;Jeferson Maranhense (Santos);Uéderson (Williams Vassoura);Thiago Furtuoso",Lino (Interino)
